"CLA_GR_UID","THE_TE_UID","TERM","INDEX_TERM","SCOPE_NOTE","STATUS","IMAGE_EXISTS"
77,84302,"PYRITES","Y","Traditionally a mineral that could be used for striking fire but now a term commonly used to refer to various sulphides, especially iron disulphide.","P",
77,84156,"BARILLA","Y","A plant, Salsola soda, burnt to produce alkali.","P",
77,84057,"ANTLERS","Y","Bone like material which grows in a branch-like fashion on the heads of male deer and reindeers in general.","P",
77,84066,"PIPES","Y","Hollow cylinders or tubes of ceramic, wood, plastic or metal used to convey liquids, gases etc. Used in a variety of industries.","P",
77,84362,"BONE ASH","Y","The powdery residue of burnt bones.","P",
77,84371,"OCHRE","Y","An earth derived pigment.","P",
77,84373,"MANGANESE","Y","A hard metallic element used in steels and magnetic alloys. Compounds containing manganese are used in glass-making and other industrial processes.","P",
77,79205,"TEAK","Y","An exotic hardwood with great strength and durability.","P",
77,84119,"ANTIMONY ORE","Y","An ore, such as stibnite, containing a high proportion of antimony.","P",
77,84146,"WIRE","Y","Thin rods or threads of metal formed by rolling or wire-drawing and used for a variety of purposes including electrical circuitry.","P",
77,84129,"PIECE GOODS","Y","Cloth that has been woven in fixed lengths for sale.","P",
77,84133,"LACE","Y","An ornate, openwork fabric made by twisting, knotting or looping threads. Originally made by hand but more recently manufactured mechanically.","P",
77,84505,"ALUMINIUM","Y","A light, ductile metal, used in the manufacture of aircraft etc.","P",
77,84509,"SEWAGE","Y","Waste matter, usually liquid in form, consisting of the contents of sewers and cesspits.","P",
77,84252,"PALM KERNELS","Y","The edible seed of the palm tree.","P",
77,84254,"POTASSIUM SILICATE","Y","A compound consisting of potassium and silica, used in various processes.","P",
77,84257,"Wire Cable","N",,"N",
77,78885,"AGGREGATE","Y","Material consisting of fragments of stone, sand, gravel, slag etc. used in the manufacture of concrete.","P",
77,78887,"AIRCRAFT COMPONENTS","Y","Machinery and equipment used in the manufacture of aircraft.","P",
77,78892,"ANIMALS","Y","Use for cargoes of live animals only.","P",
77,78898,"BACON","Y","The cured flesh of a pig.","P",
77,78903,"BARLEY","Y","Grain from a cereal of the genus hordeum, often used in the manufacture of alcoholic spirits.","P",
77,78904,"BARREL HOOPS","Y","Metal hoops used to hold the staves of barrels in position.","P",
77,78905,"BARREL STAVES","Y","Pieces of wood used to form the sides of barrels.","P",
77,78909,"BEEF","Y","The meat obtained from cattle.","P",
77,78911,"BENZINE","Y","A mixture of paraffins distilled from petroleum and used as a fuel and solvent.","P",
77,78912,"BISCUIT","Y","Traditionally, pieces of unleavened cake or bread usually small in size and dry, crisp and hard.","P",
77,78914,"BLUBBER","Y","The fat removed from the carcass of a whale or seal and used in the manufacture of cosmetics and as a fuel for tallow lamps.","P",
77,78917,"Bone Dust","N",,"N",
77,78918,"BOTTLES","Y","Narrow necked containers, originally of leather but now usually made of glass or plastic. Used for storing liquids.","P",
77,78923,"Bronze Guns","N","Double-key with object material.","N",
77,78924,"BULLION","Y","Metal, usually gold and silver, in the form of ingots prior to being minted into coinage.","P",
77,79207,"TEXTILES AND CLOTHING","N","Clothing, cloth and woven fabric manufactured from either natural or artificial fibres.","P",
77,79222,"VEHICLES","Y","Transportation, usually wheeled or tracked, used for the conveyance of goods or people.","P",
77,79224,"WATER","Y","A clear liquid that forms oceans, rivers etc.","P",
77,79228,"WHEAT","Y","A cereal of the genus Triticum, which can be ground to manufacture flour for bread and pasta.","P",
77,79229,"WINE","Y","An alcoholic drink made from fermented grape juice (or occasionally other fruits).","P",
77,79231,"WOOD CHIPS","Y","Small fragments of wood or bark.","P",
77,79232,"Wood Products","N",,"N",
77,79233,"WOOD PULP","Y","Fibres of wood reduced chemically or mechanically to pulp for use in the manufacture of paper.","P",
77,79235,"WOOLLEN GOODS","Y","Goods, particularly cloth and garments, manufactured from wool.","P",
77,84272,"STEEL PLATE","Y","Steel which has been formed into sheets.","P",
77,84274,"DIVING EQUIPMENT","Y","Equipment including diving suits, wet suits, oxygen tanks etc. used to enable people to undertake underwater activities.","P",
77,84430,"NICKEL","Y","a hard metal used in a lot of alloys.","P",
77,84431,"WHITE SPIRIT","Y","A volatile, colourless distillate of petroleum used as a solvent and paint thinner.","P",
77,84471,"ZINC INGOTS","Y","Solid bars made from pure zinc.","P",
77,84170,"MANGANESE ORE","Y","An ore containing a high proportion of manganese.","P",
77,84313,"LAMBS","Y","The young of the sheep.","P",
77,84316,"AGRICULTURAL IMPLEMENTS","Y","Tools and equipment used for agricultural purposes.","P",
77,84282,"PIANOS","Y","Large keyboard, percussion instruments in which strings are struck by hammers to produce notes.","P",
77,84285,"Groundnuts","N",,"N",
77,84339,"NITRATE","Y","A fertilizer containing nitrogen.","P",
77,84345,"SALTPETRE","Y","Potassium nitrate","P",
77,84475,"GUNNIES","Y","Coarse jute sacking","P",
77,84476,"ANIMAL FODDER","Y","Food, usually hay or straw, kept for the feeding of animals.","P",
77,78931,"Cannon For Scrap","N","Use CANNON and SCRAP METAL if necessary.","N",
77,78933,"CARGO","N","This is the top term for the thesaurus.","P",
77,78934,"Casks","N",,"N",
77,78935,"CAST IRON","Y","A metallic alloy of iron, carbon and silicon formed by casting in a mould.","P",
77,78942,"CHALK","Y","Soft limestone consisting almost entirely of calcite.","P",
77,78947,"CHINA TABLEWARE","Y","Tabelware manufactured from china clay.","P",
77,78952,"COAL DUST","Y","Powdered coal.","P",
77,78953,"Coal Patent Fuel","N",,"N",
77,78957,"COCONUT OIL","Y","Oil obtained from the flesh of the coconut and used in ointments, soaps etc.","P",
77,78962,"COKE","Y","A fuel derived by dry distillation from coal.","P",
77,78967,"COPPER","Y","A reddish metal used in alloys, coins and the construction and electronics industries.","P",
77,78972,"CORAL","Y","A calcareous, hard substance, the external skeleton of marine polyps, used in the manufacture of jewellery.
","P",
77,78973,"CORK","Y","A light, buoyant material obtained from the cork oak. Cork is used in floats and as stoppers for bottles.","P",
77,78974,"CORN","Y","The seed of a cereal plant used in the manufacture of foodstuffs.","P",
77,78975,"COTTON","Y","The white, fibrous substance surrounding the seeds of plants of the genus Gossypium, which can be spun and used in the manufacture of thread and cloth or used in its raw form as wadding or packing.","P",
77,78978,"CRUDE OIL","Y","Unrefined oil used in the manufacture of petroleum.","P",
77,78983,"DEAL","Y","Timber manufactured from fir or spruce trees.","P",
77,78984,"DIESEL","Y","An oil based derivative used as a fuel in diesel engines.","P",
77,78990,"Elephant Teeth","N",,"N",
77,79001,"FIREWOOD","Y","Wood which is used as fuel for fires.","P",
77,79003,"FISH OIL","Y","Oil manufactured from fish.","P",
77,79009,"FOOD","Y","Includes raw and processed.
","P",
77,79012,"FURNITURE","Y","Movable, usually functional, articles normally found in the home.","P",
77,79020,"Gold Specie","N",,"N",
77,79021,"GOVERNMENT STORES","Y","Supplies owned by, or for the use of, the government.","P",
77,79025,"GRANITE BOULDERS","Y","Boulders of unprocessed granite.","P",
77,79026,"GRANITE CHIPS","Y","Small fragments of granite.","P",
77,79033,"HARDWOOD","Y","Wood from non-coniferous trees, eg. oak, known for their hardness.","P",
77,79036,"HERRING","Y","Fish of the family Clupeidae, common to the North Atlantic. They are caught for food.","P",
77,79037,"HIDES","Y","Animal skins, either raw or dressed which are used in the tanning industry to produce leather.","P",
77,79038,"Horns","N",,"N",
77,79040,"HORSES","Y","Large mammals, domesticated for riding and as draught animals.","P",
77,79041,"HOUSEHOLD GOODS","Y","Goods, including portable objects and furniture, commonly found in the home.","P",
77,79044,"INDIGO","Y","A dark blue powder, obtained from plants or synthetically manufactured, used as a dye.","P",
77,79048,"Iron Guns","N","Double-key with object material.","N",
77,79049,"IRON INGOTS","Y","Solid bars made from pure iron.","P",
77,79050,"IRON ORE","Y","Ore containing high proportions of Iron.","P",
77,79053,"KERBSTONES","Y","Stones used to edge a pavement or raised path.","P",
