"TH_T_U_UID","TERM","CLA_GR_UID","BROAD_TERM_U_UID","TOP_TERM_U_UID"
123937,"NAPHTHA",77,123824,123898
123938,"MILITARY VEHICLES",77,123589,123898
123940,"MILITARY PERSONNEL",77,152003,123898
123941,"TOBACCO",77,123862,123898
123942,"ACID",77,123881,123898
123944,"ALUMINIUM",77,123792,123898
123946,"ANIMAL FODDER",77,123898,123898
123947,"ANCHORS",77,152084,123898
123948,"ANTLERS",77,140917,123898
123949,"BALLAST",77,123898,123898
123950,"BARREL HEADINGS",77,123845,123898
123951,"BATTENS",77,123915,123898
123952,"BEAVER FURS",77,123980,123898
123953,"BOG ORE",77,123885,123898
123954,"BONE ASH",77,123956,123898
123955,"BONE MEAL",77,123956,123898
123956,"BONES",77,140917,123898
123957,"BOOKS",77,151983,123898
123958,"BOXWOOD",77,124050,123898
123959,"BURNT ORE",77,123885,123898
123960,"CANNON BALLS",77,123768,123898
123961,"CIDER",77,123716,123898
123962,"COCONUT FIBRE MATTING",77,123862,123898
123964,"CONCRETE PIPES",77,151643,123898
123965,"CORRUGATED IRON",77,123915,123898
123966,"CREOSOTE",77,123915,123898
123967,"CURRANTS",77,123688,123898
123968,"CULM",77,123790,123898
123969,"DEALS",77,123915,123898
123971,"DISPATCHES",77,123737,123898
123972,"DIVING EQUIPMENT",77,152203,123898
123973,"EBONY",77,124050,123898
123974,"ESPARTO GRASS",77,123862,123898
123975,"FELT",77,123851,123898
123976,"DRUGS",77,123881,123898
123977,"DYEWOOD",77,123622,123898
123978,"FIREWORKS",77,152203,123898
123979,"FLAGS",77,123851,123898
123980,"FURS",77,152143,123898
123981,"GAS",77,123588,123898
123983,"GIRDERS",77,123915,123898
123880,"SOLDIERS",77,123940,123898
123881,"CHEMICALS",77,123898,123898
123882,"NITRATE OF SODA",77,123881,123898
123883,"PHOSPHATE",77,123881,123898
123884,"MINERALS",77,123898,123898
123885,"ORE",77,123884,123898
123886,"COPPER ORE",77,123885,123898
123887,"IRON ORE",77,123885,123898
123888,"MINERAL ORE",77,123885,123898
123889,"LEAD ORE",77,123885,123898
123890,"GLASS",77,123915,123898
123891,"CHALK",77,123884,123898
123892,"CLAY",77,123884,123898
123893,"CHINA CLAY",77,123892,123898
123894,"PIPE CLAY",77,123892,123898
123896,"CONCRETE",77,123915,123898
123897,"CEMENT",77,123884,123898
123898,"CARGO",77,,123898
123899,"ANIMAL HAIR",77,140917,123898
123901,"BLUBBER",77,140917,123898
123903,"CORAL",77,140917,123898
123905,"ELEPHANT TUSKS",77,123992,123898
123906,"HIDES",77,152143,123898
123907,"ANIMAL HORN",77,140917,123898
123908,"LEATHER",77,140917,123898
123910,"TALLOW",77,140917,123898
123912,"WHALE OIL",77,140917,123898
123913,"WOOL",77,140917,123898
123915,"CONSTRUCTION MATERIALS",77,123898,123898
123916,"BOARD",77,123915,123898
123917,"BRICKS",77,123915,123898
123918,"LATHS",77,123915,123898
123920,"TILES",77,123915,123898
123921,"WOOLLEN GOODS",77,123857,123898
123922,"SMALL ARMS AMMUNITION",77,123768,123898
123924,"PISTOLS",77,123767,123898
123926,"SWORDS",77,123763,123898
123928,"LIME",77,123677,123898
123929,"PLANTS AND PLANT PRODUCTS",77,123898,123898
123930,"ANIMALS AND ANIMAL PRODUCTS",77,123898,123898
123932,"PATENT FUEL",77,123931,123898
123934,"DIESEL",77,123588,123898
123936,"PETROLEUM",77,123588,123898
123822,"COIN",77,123815,123898
123824,"OIL BASED PRODUCTS",77,123898,123898
123825,"OIL",77,123824,123898
123826,"CRUDE OIL",77,123825,123898
123827,"LUBRICATING OIL",77,123825,123898
123829,"PARAFFIN",77,123824,123898
123830,"PETROLEUM",77,123824,123898
123831,"BENZINE",77,123824,123898
123832,"COAL TAR",77,123931,123898
123833,"PITCH",77,123824,123898
123834,"TAR",77,123824,123898
123836,"HOUSEHOLD GOODS",77,152203,123898
123837,"CANDLES",77,123836,123898
123838,"FURNITURE",77,123836,123898
123839,"TABLEWARE",77,123836,123898
123840,"CHINA TABLEWARE",77,183861,123898
123841,"PORCELAIN",77,152203,123898
123844,"CONTAINERS",77,123898,123898
123845,"BARRELS",77,123844,123898
123846,"BOTTLES",77,123844,123898
123848,"BARREL STAVES",77,123845,123898
123849,"BARREL HOOPS",77,123845,123898
123850,"TEXTILES AND CLOTHING",77,123898,123898
123851,"TEXTILES",77,123850,123898
123852,"CANVAS",77,123851,123898
123854,"SILK",77,123851,123898
123855,"COTTON",77,123851,123898
123856,"COTTON GOODS",77,123855,123898
123857,"WOOL",77,123851,123898
123859,"PLANTS",77,123929,123898
123862,"PLANT PRODUCTS",77,123929,123898
123865,"HEMP",77,123862,123898
123867,"FLAX",77,123862,123898
123868,"JUTE",77,123862,123898
123870,"COTTON SEED",77,123869,123898
123871,"RAW COTTON",77,123869,123898
123873,"PEOPLE",77,123898,123898
